"ONT_Barcode"	"HW_address"	"Payload1"	"Payload2"	"Payload3"	"Payload4"	"Payload5"	"Payload6"	"Payload7"	"Payload8"
"15"	"barcode_external05_internal08"	"[0,0,3,6]"	"[0,0,3,4]"	"[0,0,0,2]"	"[0,2,5,8]"	"[0,0,0,3]"	"[0,0,0,7]"	"[0,0,0,3]"	"[0,0,0,0]"
"15"	"barcode_external06_internal08"	"[0,1,3,4]"	"[0,0,0,1]"	"[0,2,5,7]"	"[0,0,0,1]"	"[0,1,4,7]"	"[0,0,0,0]"	"[0,0,5,8]"	"[0,0,0,7]"
"15"	"barcode_external07_internal08"	"[0,3,4,7]"	"[0,1,2,3]"	"[0,2,7,8]"	"[0,0,2,3]"	"[0,0,0,3]"	"[0,0,0,6]"	"[0,0,0,7]"	"[0,0,0,0]"
"15"	"barcode_external08_internal08"	"[0,0,0,5]"	"[0,0,2,5]"	"[0,0,1,2]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,2]"
"19"	"barcode_external01_internal01"	"[0,0,0,1]"	"[0,0,1,5]"	"[0,1,3,6]"	"[0,0,1,4]"	"[0,0,5,7]"	"[0,0,4,6]"	"[0,0,1,5]"	"[0,0,0,1]"
"19"	"barcode_external02_internal01"	"[0,0,1,2]"	"[0,0,4,5]"	"[0,2,7,8]"	"[0,0,5,7]"	"[0,0,0,2]"	"[0,0,0,1]"	"[0,0,0,8]"	"[0,0,0,0]"
"19"	"barcode_external03_internal01"	"[0,0,3,6]"	"[0,0,0,5]"	"[0,4,5,7]"	"[0,0,0,0]"	"[0,0,0,8]"	"[0,0,0,0]"	"[0,0,0,8]"	"[0,0,3,6]"
"19"	"barcode_external04_internal01"	"[0,1,2,5]"	"[0,0,0,0]"	"[0,0,1,8]"	"[0,0,0,0]"	"[0,0,1,3]"	"[0,0,2,7]"	"[0,0,0,1]"	"[0,0,0,7]"
"19"	"barcode_external05_internal01"	"[0,0,6,7]"	"[0,2,3,5]"	"[0,2,3,5]"	"[0,0,0,6]"	"[0,0,0,0]"	"[0,0,0,4]"	"[0,1,2,8]"	"[0,0,0,6]"
"19"	"barcode_external06_internal01"	"[3,4,6,7]"	"[0,0,4,5]"	"[0,0,6,8]"	"[4,5,6,7]"	"[0,3,6,8]"	"[0,3,7,8]"	"[0,0,4,6]"	"[0,2,3,8]"
"19"	"barcode_external07_internal01"	"[0,0,0,0]"	"[0,0,0,3]"	"[0,0,4,5]"	"[0,0,0,2]"	"[0,0,0,0]"	"[0,0,0,4]"	"[0,0,0,0]"	"[0,0,0,0]"
"19"	"barcode_external08_internal01"	"[0,0,1,7]"	"[0,0,0,6]"	"[0,0,1,5]"	"[0,0,1,4]"	"[0,0,1,5]"	"[0,0,0,2]"	"[0,0,0,1]"	"[0,0,0,7]"
"19"	"barcode_external01_internal02"	"[0,0,0,4]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,4]"	"[0,0,0,0]"	"[0,0,0,0]"
"19"	"barcode_external02_internal02"	"[0,0,1,3]"	"[0,0,3,7]"	"[0,1,5,8]"	"[0,0,3,4]"	"[0,0,1,3]"	"[0,3,4,7]"	"[0,0,5,8]"	"[0,0,0,8]"
"19"	"barcode_external03_internal02"	"[0,0,2,6]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,5]"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,0,0]"	"[0,0,0,0]"
"19"	"barcode_external04_internal02"	"[0,0,1,6]"	"[0,0,1,7]"	"[0,0,0,4]"	"[0,0,0,4]"	"[0,0,0,5]"	"[0,0,0,7]"	"[0,0,0,2]"	"[0,0,0,1]"
"19"	"barcode_external05_internal02"	"[2,3,6,7]"	"[0,4,5,8]"	"[0,1,4,8]"	"[1,4,5,6]"	"[0,0,1,5]"	"[1,6,7,8]"	"[0,0,2,3]"	"[0,0,2,8]"
"19"	"barcode_external06_internal02"	"[0,0,4,5]"	"[0,0,0,4]"	"[0,0,1,7]"	"[0,0,0,2]"	"[0,0,0,3]"	"[0,0,0,7]"	"[0,0,3,8]"	"[0,0,1,5]"
"19"	"barcode_external07_internal02"	"[0,0,5,6]"	"[0,0,7,8]"	"[0,0,2,5]"	"[0,0,0,8]"	"[0,0,4,7]"	"[0,0,7,8]"	"[0,0,1,4]"	"[0,0,0,7]"
"19"	"barcode_external08_internal02"	"[0,0,0,0]"	"[0,0,0,8]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"19"	"barcode_external01_internal03"	"[0,0,0,2]"	"[0,0,1,2]"	"[0,0,3,7]"	"[0,0,0,0]"	"[0,0,0,8]"	"[0,0,0,1]"	"[0,0,7,8]"	"[0,0,0,0]"
"19"	"barcode_external02_internal03"	"[0,0,0,3]"	"[0,0,0,2]"	"[0,0,1,6]"	"[0,0,1,6]"	"[1,2,3,8]"	"[0,0,4,8]"	"[0,0,5,6]"	"[0,0,0,3]"
"19"	"barcode_external03_internal03"	"[0,0,3,8]"	"[0,0,0,0]"	"[0,0,0,4]"	"[0,0,1,5]"	"[0,0,3,6]"	"[0,0,0,5]"	"[0,0,0,4]"	"[0,0,0,8]"
"19"	"barcode_external04_internal03"	"[0,0,0,4]"	"[0,0,3,8]"	"[0,0,1,8]"	"[0,3,4,7]"	"[0,0,4,5]"	"[0,0,0,8]"	"[0,0,0,0]"	"[0,0,0,7]"
"19"	"barcode_external05_internal03"	"[0,5,6,7]"	"[0,0,3,7]"	"[0,0,4,6]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,6]"	"[0,2,5,7]"	"[0,0,5,7]"
"19"	"barcode_external06_internal03"	"[0,0,0,6]"	"[0,0,5,7]"	"[0,0,0,5]"	"[0,0,0,8]"	"[0,0,0,2]"	"[0,0,0,0]"	"[0,0,1,6]"	"[0,0,0,0]"
"19"	"barcode_external07_internal03"	"[0,5,7,8]"	"[0,0,5,8]"	"[0,0,0,5]"	"[0,0,3,6]"	"[0,0,0,2]"	"[0,0,5,6]"	"[0,0,4,7]"	"[0,0,0,0]"
"19"	"barcode_external08_internal03"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,0,7]"	"[0,0,0,1]"	"[0,0,0,3]"	"[0,0,0,6]"	"[0,0,0,3]"
"19"	"barcode_external01_internal04"	"[0,0,7,8]"	"[0,0,4,8]"	"[0,2,4,6]"	"[0,0,0,2]"	"[0,3,5,8]"	"[0,0,0,6]"	"[0,3,6,8]"	"[0,0,0,5]"
"19"	"barcode_external02_internal04"	"[0,0,0,6]"	"[0,0,0,0]"	"[0,0,1,8]"	"[0,0,0,0]"	"[0,0,3,6]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"19"	"barcode_external03_internal04"	"[0,4,7,8]"	"[0,0,1,4]"	"[0,0,4,6]"	"[0,0,3,6]"	"[0,0,1,7]"	"[0,0,0,0]"	"[0,0,0,7]"	"[0,0,4,5]"
"19"	"barcode_external04_internal04"	"[0,0,1,3]"	"[0,0,0,0]"	"[0,0,0,4]"	"[0,0,2,3]"	"[0,0,0,6]"	"[0,0,4,5]"	"[0,2,3,8]"	"[0,0,6,8]"
"19"	"barcode_external05_internal04"	"[0,0,0,8]"	"[0,0,1,8]"	"[0,2,4,8]"	"[0,0,3,4]"	"[0,0,0,0]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,6]"
"19"	"barcode_external06_internal04"	"[0,0,0,0]"	"[0,0,0,3]"	"[0,0,0,8]"	"[0,0,0,0]"	"[0,0,1,8]"	"[0,0,0,0]"	"[0,0,0,3]"	"[0,0,0,0]"
"19"	"barcode_external07_internal04"	"[0,0,0,4]"	"[0,0,3,7]"	"[0,0,0,4]"	"[0,0,0,5]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,1,7]"	"[0,0,0,2]"
