"ONT_Barcode"	"HW_address"	"Payload1"	"Payload2"	"Payload3"	"Payload4"	"Payload5"	"Payload6"	"Payload7"	"Payload8"
"6"	"barcode_external04_internal05"	"[0,0,2,6]"	"[0,2,6,7]"	"[0,3,6,7]"	"[2,3,7,8]"	"[0,5,7,8]"	"[0,0,0,0]"	"[0,0,6,7]"	"[0,0,4,7]"
"6"	"barcode_external05_internal05"	"[1,4,5,8]"	"[0,1,2,8]"	"[0,2,5,6]"	"[0,0,0,1]"	"[0,1,3,5]"	"[0,2,4,6]"	"[0,6,7,8]"	"[0,0,6,8]"
"6"	"barcode_external06_internal05"	"[0,4,5,8]"	"[0,0,1,3]"	"[1,4,5,6]"	"[0,0,4,7]"	"[1,3,5,6]"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,4,7]"
"6"	"barcode_external07_internal05"	"[2,5,7,8]"	"[0,2,5,6]"	"[0,0,6,8]"	"[0,0,5,8]"	"[0,1,5,8]"	"[0,0,0,8]"	"[0,0,2,7]"	"[0,0,0,6]"
"6"	"barcode_external08_internal05"	"[0,1,3,8]"	"[0,0,6,7]"	"[0,2,5,6]"	"[0,0,3,8]"	"[0,4,6,8]"	"[0,0,1,6]"	"[0,0,6,7]"	"[0,0,0,0]"
"6"	"barcode_external01_internal06"	"[0,1,6,8]"	"[0,0,1,8]"	"[2,3,5,8]"	"[0,0,0,2]"	"[0,0,3,5]"	"[0,0,0,0]"	"[0,1,2,7]"	"[0,0,0,1]"
"6"	"barcode_external02_internal06"	"[0,5,6,7]"	"[4,5,7,8]"	"[0,0,5,8]"	"[0,3,5,8]"	"[0,2,3,6]"	"[0,0,0,5]"	"[0,0,7,8]"	"[0,0,0,0]"
"6"	"barcode_external03_internal06"	"[1,2,3,7]"	"[0,5,6,8]"	"[0,1,4,7]"	"[0,4,5,6]"	"[0,0,5,8]"	"[0,0,2,8]"	"[0,0,1,2]"	"[0,0,0,1]"
"6"	"barcode_external04_internal06"	"[0,1,3,6]"	"[0,1,4,6]"	"[1,5,6,8]"	"[0,1,6,8]"	"[0,0,1,6]"	"[0,3,6,7]"	"[0,0,0,2]"	"[0,0,5,6]"
"6"	"barcode_external05_internal06"	"[1,2,4,5]"	"[1,2,5,6]"	"[0,3,4,8]"	"[0,0,1,5]"	"[0,0,0,0]"	"[0,0,0,8]"	"[0,0,1,8]"	"[0,0,0,1]"
"6"	"barcode_external06_internal06"	"[0,3,4,7]"	"[0,3,6,8]"	"[0,1,2,4]"	"[0,2,5,6]"	"[0,0,0,7]"	"[0,0,0,7]"	"[0,0,0,6]"	"[0,1,4,8]"
"6"	"barcode_external07_internal06"	"[0,0,0,3]"	"[0,0,0,0]"	"[0,3,6,8]"	"[0,0,2,3]"	"[0,0,0,1]"	"[0,0,0,5]"	"[0,0,2,7]"	"[0,0,0,8]"
"6"	"barcode_external08_internal06"	"[0,3,5,8]"	"[0,0,6,7]"	"[3,4,5,8]"	"[0,1,2,8]"	"[0,0,5,8]"	"[0,0,1,7]"	"[0,0,0,7]"	"[0,0,1,6]"
"6"	"barcode_external01_internal07"	"[2,5,6,8]"	"[1,3,6,8]"	"[2,3,6,8]"	"[0,0,6,7]"	"[1,4,5,8]"	"[1,2,5,8]"	"[1,3,6,7]"	"[0,1,3,7]"
"6"	"barcode_external02_internal07"	"[0,2,6,7]"	"[0,2,7,8]"	"[0,0,1,8]"	"[0,0,3,5]"	"[0,1,2,4]"	"[0,0,1,7]"	"[0,0,0,1]"	"[0,0,4,6]"
"6"	"barcode_external03_internal07"	"[0,1,3,8]"	"[0,3,6,8]"	"[0,2,3,6]"	"[0,3,4,6]"	"[0,1,4,6]"	"[0,0,3,4]"	"[0,0,4,6]"	"[0,2,4,8]"
"6"	"barcode_external04_internal07"	"[0,0,0,3]"	"[0,0,0,6]"	"[0,0,0,5]"	"[0,0,3,6]"	"[0,0,0,5]"	"[0,0,0,2]"	"[0,0,0,5]"	"[0,0,0,7]"
"6"	"barcode_external05_internal07"	"[0,6,7,8]"	"[0,0,0,4]"	"[0,0,2,5]"	"[0,1,3,6]"	"[0,2,4,8]"	"[0,1,5,6]"	"[0,1,5,8]"	"[0,0,5,8]"
"6"	"barcode_external06_internal07"	"[0,0,1,3]"	"[0,2,3,5]"	"[0,1,2,5]"	"[0,0,3,5]"	"[0,1,5,6]"	"[0,0,1,7]"	"[0,0,3,7]"	"[0,4,5,7]"
"6"	"barcode_external07_internal07"	"[0,0,3,7]"	"[0,0,6,7]"	"[0,0,3,7]"	"[0,3,7,8]"	"[0,0,2,8]"	"[0,4,5,8]"	"[0,0,0,4]"	"[0,0,0,4]"
"6"	"barcode_external08_internal07"	"[1,2,4,6]"	"[0,2,5,6]"	"[0,1,2,3]"	"[0,1,3,7]"	"[0,0,1,7]"	"[0,0,0,2]"	"[0,1,4,6]"	"[1,3,4,8]"
